Name,Kinships,Affiliation,Knowledgebase,Openness,Scope,Sides,InteriorParticleCount,ParticlesPerEdge,BorderParticleCount,TotalParticleCount,Color
Urban Ecologist,"Parents, French, Whiteness",,1,1,local,3,260,11,33,293,#7A8DFF
Western North Carolinian,"Parents, Urban Ecologist, French",,6,6,regional,3,101,6,18,119,#C36200
Whiteness,"Parents, Urban Ecologist, French",,1,7,global,3,115,6,18,133,#FFB900
French,"Parents, Urban Ecologist, Whiteness",,3,1,national,3,23,9,27,50,#B70057
Parents,"Urban Ecologist, French, Whiteness",,4,1,global,3,97,9,27,124,#00C9F6
